System
Synuefe XR-H d11-102
IC 2391 Sector GW-V b2-4
IC 2391 Sector ZE-A d101
Synuefe XO-P c22-17
Synuefe ZL-J d10-119
Col 173 Sector KY-Q d5-47
HIP 39768
Synuefe TP-F b44-0
Synuefe NL-N c23-4
Synuefe LY-I b42-2
Col 173 Sector AV-N b23-5
Col 173 Sector LY-Q d5-13
Col 173 Sector XG-J c10-17
Col 173 Sector LY-Q d5-59
Col 173 Sector CG-M b24-8
Col 173 Sector OT-Q d5-18
Synuefe CE-R c21-6
Synuefe ZR-I b43-10
IC 2391 Sector FL-X b1-7
Vela Dark Region RC-V b2-5
Vela Dark Region KR-W c1-24
Vela Dark Region EL-Y d32
Col 173 Sector AP-Q b21-2
Col 173 Sector OE-P d6-11
Skaudai AM-B d14-138
Col 173 Sector WF-N d7-52
Col 173 Sector DH-K b25-2
Col 173 Sector WN-B b29-1
Col 173 Sector UU-O d6-42
Col 173 Sector PV-B c14-1
Vela Dark Region HB-X c1-28
Synuefe ZL-J d10-109
Col 173 Sector KN-J b25-5
Col 173 Sector EC-L d8-54
Col 173 Sector FC-L d8-28
Col 173 Sector YV-M d7-23
Col 173 Sector OG-Z c15-35
Col 173 Sector WZ-O b22-4
Col 173 Sector HR-M b23-3
Col 173 Sector KP-T b34-8
Col 173 Sector LB-W b31-0
Col 173 Sector OC-C b29-1
Col 173 Sector UU-O d6-30
Col 173 Sector OZ-U b33-6
Col 173 Sector JB-F b27-1
Col 173 Sector YG-A c15-20
Col 173 Sector WK-A a48-4
Vela Dark Region FL-Y d63
Synuefe YY-Q c21-19
IC 2391 Sector YE-A d103
Vela Dark Region VO-Q b5-1
Blae Eork QU-D d13-3
Vela Dark Region WT-R b4-3
Eta Carina Sector EL-Y d16
Eta Carina Sector IM-V c2-4
2MASS J10444160-5947046
Col 173 Sector UU-O d6-20
Col 173 Sector LJ-F c12-0
Blae Eork IF-G c27-13
Col 173 Sector JX-K b24-0
Prua Phoe TS-B d252
Col 173 Sector YF-N d7-74
Prua Phoe XY-Z d42
Prua Phoe XY-Z d114
Col 173 Sector VN-A b30-1
Prua Phoe US-B d86
Blae Eork RU-D d13-17
Col 173 Sector UG-B c14-0
Blae Eork RU-D d13-20
Col 173 Sector KT-G b40-2
Col 173 Sector RH-C b29-1
Prai Hypoo GF-E c10
Eorl Auwsy SY-Z d13-3468
Col 173 Sector XF-N d7-105
Eorl Auwsy SY-Z d13-3861
Prai Hypoo QC-C d31
Col 173 Sector YG-A c15-12
Blaa Hypai LZ-F b27-0
Blaa Hypai OZ-O d6-16
NGC 3199 Sector IM-V c2-5
Col 173 Sector AU-Y b30-2
NGC 3199 Sector MC-V c2-8
Blae Eork UL-J b56-1
NGC 3199 Sector DL-Y d12
NGC 3199 Sector BV-Y c2
Blaa Hypai XR-I b26-0
Col 173 Sector XY-Y b30-1
Blaa Hypai EU-D c13-0
Col 173 Sector QU-O d6-25
Prai Hypoo WD-A d1-6
Prai Hypoo WD-A d1-41
Eorl Auwsy YF-Y b56-16
Vela Dark Region YO-R b4-1
Col 173 Sector YA-N d7-17
Col 173 Sector PF-E b28-3
Synuefe CN-H d11-63
Col 173 Sector YF-N c7-5
Col 173 Sector WG-J c10-16
Col 173 Sector CH-L d8-14
Col 173 Sector BX-I c10-7
Col 173 Sector AI-H c11-22
Synuefe DK-D b46-4
Col 173 Sector HI-M a55-0
Prai Hypoo PC-C d50
Blae Eork NE-E d13-25
Col 173 Sector EM-L d8-60
Col 173 Sector EM-L d8-27
Col 173 Sector KN-J d9-22
